exam_id,condition_or_syndrome,diagnostic_target,when_to_use_structured,result_changes_management,management_link,evidence_source_primary,source_url_or_pubmed,LR_plus,LR_minus,evidence_tier,difficulty,time_burden_minutes,equipment_needed,care_setting,contraindications_or_limitations,retrieval_tags,actionability_score_seed,evidence_status,evidence_summary,last_reviewed
neuro_cranial_nerves_cn_viii_auditory_acuity,Hearing complaint; cranial nerve exam,Screens cochlear branch of CN VIII,Hearing complaint; cranial nerve exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,none,inpatient bedside; outpatient clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",auditory_acuity;cn_viii;cranial_nerve_exam;cranial_nerves;hearing_complaint;heent_exam;neuro;neuro_exam;neurologic_localization;stroke,6,public_lr_unavailable,Public source supports bedside technique or clinical use; no public row-specific LR found for this exact maneuver/target.,2026-07-06
neuro_cranial_nerves_cn_viii_weber_test,Hearing loss evaluation,Distinguishes conductive vs sensorineural hearing loss with Rinne,Hearing loss evaluation,"Abnormal or changed findings improve focused bedside documentation and can prompt targeted reassessment, diagnostics, or escalation in context.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,medium,2,128 Hz tuning fork,inpatient bedside; outpatient clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",cn_viii;cranial_nerves;hearing_loss_evaluation;neuro;neuro_exam;neurologic_localization;weber_test,6,public_lr_unavailable,Public source supports bedside technique or clinical use; no public row-specific LR found for this exact maneuver/target.,2026-07-06
neuro_cranial_nerves_cn_viii_rinne_test,Hearing loss evaluation,Compares air vs bone conduction,Hearing loss evaluation,"Abnormal or changed findings improve focused bedside documentation and can prompt targeted reassessment, diagnostics, or escalation in context.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,medium,2,128 Hz tuning fork; otoscope,inpatient bedside; outpatient clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",cn_viii;cranial_nerves;hearing_loss_evaluation;heent_exam;neuro;neuro_exam;neurologic_localization;rinne_test,6,public_lr_unavailable,Public source supports bedside technique or clinical use; no public row-specific LR found for this exact maneuver/target.,2026-07-06
neuro_cranial_nerves_cn_ix_x_palate_elevation,Dysphagia; dysarthria; bulbar concern; cranial nerve exam,cranial nerve motor or sensory asymmetry,Dysphagia; dysarthria; bulbar concern; cranial nerve exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,penlight,inpatient bedside; outpatient clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",bulbar_concern;cn_ix_x;cranial_nerve_exam;cranial_nerves;dysarthria;dysphagia;heent_exam;neuro;neuro_exam;neurologic_localization;palate_elevation;stroke,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_cranial_nerves_cn_xi_sternocleidomastoid_strength,Cranial nerve exam; neck weakness,focal motor weakness or upper motor neuron pattern,Cranial nerve exam; neck weakness,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",cn_xi;cranial_nerve_exam;cranial_nerves;functional_status;msk_exam;neck_weakness;neuro;neuro_exam;neurologic_localization;pain;sternocleidomastoid_strength;stroke,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_cranial_nerves_cn_xi_trapezius_strength,Cranial nerve exam; shoulder/neck weakness,focal motor weakness or upper motor neuron pattern,Cranial nerve exam; shoulder/neck weakness,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",cn_xi;cranial_nerve_exam;cranial_nerves;functional_status;msk_exam;neuro;neuro_exam;neurologic_localization;pain;shoulder_neck_weakness;stroke;trapezius_strength,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_cranial_nerves_cn_xii_tongue_protrusion,Bulbar symptoms; dysarthria; cranial nerve exam,cranial nerve motor or sensory asymmetry,Bulbar symptoms; dysarthria; cranial nerve exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,none,inpatient bedside; outpatient clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",bulbar_symptoms;cn_xii;cranial_nerve_exam;cranial_nerves;dysarthria;heent_exam;neuro;neuro_exam;neurologic_localization;stroke;tongue_protrusion,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_upper_extremity_pronator_drift,Weakness; stroke; myelopathy; neuro exam,focal motor weakness or upper motor neuron pattern,Weakness; stroke; myelopathy; neuro exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,1,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",motor;myelopathy;neuro;neuro_exam;neurologic_localization;pronator_drift;stroke;upper_extremity;upper_motor_neuron;weakness,9,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_upper_extremity_deltoid_strength,Upper extremity weakness; neuro/MSK exam,"joint, soft-tissue, tenderness, range-of-motion, or functional limitation clue",Upper extremity weakness; neuro/MSK exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,1.5,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",deltoid_strength;functional_status;motor;msk_exam;neuro;neuro_exam;neuro_msk_exam;neurologic_localization;pain;upper_extremity;upper_extremity_weakness,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_upper_extremity_biceps_strength,Upper extremity weakness; neuro/MSK exam,"joint, soft-tissue, tenderness, range-of-motion, or functional limitation clue",Upper extremity weakness; neuro/MSK exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,1.5,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",biceps_strength;functional_status;motor;msk_exam;neuro;neuro_exam;neuro_msk_exam;neurologic_localization;pain;upper_extremity;upper_extremity_weakness,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_upper_extremity_triceps_strength,Upper extremity weakness; neuro/MSK exam,"joint, soft-tissue, tenderness, range-of-motion, or functional limitation clue",Upper extremity weakness; neuro/MSK exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,1.5,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",functional_status;motor;msk_exam;neuro;neuro_exam;neuro_msk_exam;neurologic_localization;pain;triceps_strength;upper_extremity;upper_extremity_weakness,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_upper_extremity_wrist_extensor_strength,Radial nerve concern; upper extremity weakness,"joint, soft-tissue, tenderness, range-of-motion, or functional limitation clue",Radial nerve concern; upper extremity weakness,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,2022 AHA/ACC/HFSA heart failure guideline and public vascular/edema review sources,https://www.jacc.org/doi/10.1016/j.jacc.2021.12.012,,,guideline,low,1.5,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",functional_status;motor;msk_exam;neuro;neuro_exam;neurologic_localization;pain;radial_nerve_concern;upper_extremity;upper_extremity_weakness;wrist_extensor_strength,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_upper_extremity_wrist_flexor_strength,Upper extremity weakness,"joint, soft-tissue, tenderness, range-of-motion, or functional limitation clue",Upper extremity weakness,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,1.5,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",functional_status;motor;msk_exam;neuro;neuro_exam;neurologic_localization;pain;upper_extremity;upper_extremity_weakness;wrist_flexor_strength,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_lower_extremity_hip_flexor_strength,Lower extremity weakness; myelopathy; radiculopathy,"joint, soft-tissue, tenderness, range-of-motion, or functional limitation clue",Lower extremity weakness; myelopathy; radiculopathy,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,1.5,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",functional_status;hip_flexor_strength;lower_extremity;lower_extremity_weakness;motor;msk_exam;myelopathy;neuro;neuro_exam;neurologic_localization;pain;radiculopathy;upper_motor_neuron,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_lower_extremity_knee_extensor_strength,Lower extremity weakness,"joint, soft-tissue, tenderness, range-of-motion, or functional limitation clue",Lower extremity weakness,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,1.5,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",functional_status;knee_extensor_strength;lower_extremity;lower_extremity_weakness;motor;msk_exam;neuro;neuro_exam;neurologic_localization;pain,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_lower_extremity_knee_flexor_strength,Lower extremity weakness,"joint, soft-tissue, tenderness, range-of-motion, or functional limitation clue",Lower extremity weakness,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,1.5,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",functional_status;knee_flexor_strength;lower_extremity;lower_extremity_weakness;motor;msk_exam;neuro;neuro_exam;neurologic_localization;pain,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_lower_extremity_ankle_dorsiflexion_strength,Foot drop; lower extremity weakness,"joint, soft-tissue, tenderness, range-of-motion, or functional limitation clue",Foot drop; lower extremity weakness,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,1.5,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",ankle_dorsiflexion_strength;diabetes_foot;foot_drop;functional_status;lower_extremity;lower_extremity_weakness;motor;msk_exam;neuro;neuro_exam;neurologic_localization;pain;vascular_screen,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_motor_lower_extremity_ankle_plantarflexion_strength,Lower extremity weakness,"joint, soft-tissue, tenderness, range-of-motion, or functional limitation clue",Lower extremity weakness,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,1.5,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",ankle_plantarflexion_strength;diabetes_foot;functional_status;lower_extremity;lower_extremity_weakness;motor;msk_exam;neuro;neuro_exam;neurologic_localization;pain;vascular_screen,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
neuro_sensation_preparation_sensory_exam_setup,Focused sensory exam,"sensory deficit, neuropathy, posterior column, or localization clue",Focused sensory exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Johns Hopkins neurological exam overview; Merck Manual weakness/neuro exam resources,https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,teaching_reference,low,0.5,none,inpatient bedside; outpatient clinic,Use clean disposable stimulus; avoid skin breakdown or open wounds.,focused_sensory_exam;neuro;neuro_exam;neurologic_localization;perfusion;preparation;rash;sensation;sensory_exam_setup;skin_exam;wound,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-07-06
